               litt_atm             litt_tmp             litt_soil           soil_atm             soil_tmp              error           
Tundra         2.10191502992154e-07 0.0326480869785557   0.0103140494969712  2.96782270465524e-08 3.48305667369874e-05  11.0159389506027
Boreal         0                    0.0481297710822545   0.01200833795535    1.38777878078145e-22 4.35881078890695e-05  11.9746409014866
DesertCold     0.193730561923375    0.0348474079851407   0.0312322293033358  5.28019375936083e-05 9.18633599295409e-05  9.15611680147475
TemperateDry   0.77027122141688     0.00916290333219166  0.0135275059483543  8.4689298489387e-23  6.18150977665321e-05  13.0345093081671
TemperateHumid 0.737581084394087    0.0147418939569481   0.016529109693161   1.69649330403612e-11 8.18034242815784e-05  8.42213441343383
Desert         0.397949469737525    0.0136129204548305   0.00302220777407693 7.08370299497897e-06 5.28834133212756e-06  22.5914606791083
Semiarid       0.378463972096854    0.0404375768502069   0.00463545750186043 5.97217811192845e-06 1.62613977867875e-05  41.015415355877 
TropicalDry    0.999456938999027    -0.00368226646653412 0.00387474745996278 4.04517877193996e-06 2.49139323840838e-05  21.339094684628 
TropicalHumid  0.80772362768283     0.0124752209133178   0.00109155453644585 3.62670618742762e-16 6.51046085828481e-06  39.8147158315134
Unproductive   0.117810512697049    0.00965389233720312  0.00259866530184742 0.00029521280558173  -1.99978172397571e-05 39.6870466905537
