               const               tmp                  ppm                 
Tundra         -0.315968495644543  0.025264957889106    0.000651275273693791
Boreal         -0.335658412283836  0.0277975069151521   0.000904868528026238
DesertCold     -0.177267284819462  0.0110208558372684   0.000706699684406546
TemperateDry   -0.127410394937174  0.0101650067293257   0.00102601955734572 
TemperateHumid 0.0176794838083442  0.00430868288015862  0.00117567994208047 
Desert         0.0113304918338165  0.00174705524676016  0.000410531522113844
Semiarid       -0.118330460625567  0.0154545702202247   0.000482256300706419
TropicalDry    -0.0426091509094768 -0.00324221446838691 0.00113137594550859 
TropicalHumid  -0.0561415398222093 -0.00976709611677088 0.00134001844733652 
Unproductive   -0.140907346973314  0.0147496931498226   0.000384412752541519
