               const                tmp                   ppm                  
Tundra         -0.0128086278777434  0.00184050495758606   -5.55651299751082e-07
Boreal         -0.00501696888796805 0.00186685785757896   -3.68984256723133e-07
DesertCold     -0.00666939716654273 0.00249707571339508   -1.19073774221477e-05
TemperateDry   0.0493377372230868   0.000564401434815971  0.000189753176629889 
TemperateHumid 0.0500033456506236   0.000498855749102445  0.000122497846887969 
Desert         0.0439684049155236   0.000940120016447476  0.00017913085132793  
Semiarid       0.0634291024808434   -0.000576941972700905 0.000179106844828736 
TropicalDry    0.0219000998884601   -0.000766146398683009 0.000200840045649255 
TropicalHumid  0.0509263371610158   -0.00161311736893056  0.000190348157894191 
Unproductive   -0.00105288358173826 0.000465627041861285  1.18649256812588e-06 
