               const                tmp                 ppm                 
Tundra         -0.323747082424      0.0262215612940244  0.000654122362436448
Boreal         -0.353406148019233   0.0294109665464522  0.000908656254908669
DesertCold     -0.183540790758586   0.0113845359781478  0.000724619810413401
TemperateDry   -0.140405905908752   0.0120518554974094  0.0010200684394435  
TemperateHumid -0.00621352141927664 0.00679263633052237 0.00116000935900262 
Desert         0.00155383116464721  0.00232531262453702 0.000430405127628669
Semiarid       -0.116163821345335   0.0153433939384967  0.000477190222451382
TropicalDry    -0.0420072710277386  -0.0032535543129783 0.00112999273211019 
TropicalHumid  -0.0526121813858129  -0.0098706945421674 0.00133566552567562 
Unproductive   -0.163513305022984   0.0162192649963026  0.000406761907209282
