               const                 tmp                   ppm                  
Tundra         -0.00212845782492047  0.000270457691450677  3.05344701229757e-06 
Boreal         -0.000385381763119162 0.000168286525849825  3.33839628145586e-06 
DesertCold     -0.0158612744074058   0.00211220998519565   4.12469926127813e-05 
TemperateDry   0.0251949976614483    -0.000786866577611929 -2.37615547079853e-05
TemperateHumid 0.00568386334318686   -0.000167350741819224 -5.04725352419664e-06
Desert         -0.0241226170584047   0.0029869317964372    5.87123597603275e-05 
Semiarid       0.137746664824626     -0.00348176011792478  -5.75082227172341e-05
TropicalDry    0.0432214804988743    0.00114596030178257   -4.25931921254148e-05
TropicalHumid  0.00402848829668492   0.000273665696213527  1.35210951833185e-06 
Unproductive   -0.00136278819199106  0.000129555393636294  2.77615214275179e-07 
