               d                  dd                   const               temp                 co2ppm               temp2                 co2temp2              error           
Tundra         -0.759154496234605 -0.0539560769318674  -0.264616704068194  0.0459428055948189   2.03845233546912e-05 -0.00212157471480703  2.00845190957233e-06  122.060103737257
Boreal         -0.872841898167713 -0.0575872834025364  -0.90860960397098   0.15074273505545     0.000539881449142032 -0.00739395218235038  2.82515389311458e-06  352.228934495673
DesertCold     -1.11205148070549  -0.12221496692106    -0.0462041447894098 -0.00819591866844609 0.000429528044264414 0.000404892040931297  -2.58157216737526e-07 56.8651401443133
TemperateDry   -1.5075773095376   -0.0047498327406231  -0.179626861791293  0.0175277520327923   0.000598532667011295 -0.000981460776825972 -5.19079510415151e-07 133.834326435534
TemperateHumid -1.48041640706852  -0.00794587342757873 -0.522027161283842  0.0506347876494268   0.00180102415141407  -0.00212953295880881  -3.82253920241238e-06 296.9544948845  
Desert         -1.33234032100487  -0.284125700804086   -0.0110396424473512 0.00138602214303803  2.50081408336893e-05 -0.000145566405661685 2.38374620265504e-07  5.87747991634619
Semiarid       -1.22300868352686  -0.028994462509059   -0.316462173540794  0.0527266442697263   0.00011839800341823  -0.00304052296126264  2.3877989203788e-06   79.9672693131814
TropicalDry    -1.30421084695789  0.0120632179415862   -0.226997072818819  0.0318905723916265   0.000917633872896155 -0.00207766362149245  1.66588427254508e-08  1285.09427942602
TropicalHumid  -1.0816488147785   0.00403409446844933  0.203217024204011   -0.0306304573403074  0.000906773480782578 0.000674049691191521  -4.06345021021787e-07 6245.29885011711
Unproductive   39.7219466565359   0.43406061731201     -21.9139989061169   -7.27826767072606    0.0018073550893819   0.123912186616896     7.57883718080163e-05  3730.83907955932
