               const              cveg                
Tundra         0.304684200985425  0.0334268566063731  
Boreal         0.380981365889828  0.0168767960223435  
DesertCold     0.21668323183893   0.0211149522589103  
TemperateDry   0.290105039960836  0.0134185798882076  
TemperateHumid 0.433025697267524  0.00807489979702603 
Desert         0.0848394027338473 0.0632344303725821  
Semiarid       0.202146961331371  0.0285194467957491  
TropicalDry    0.575905980050531  0.00981118289521707 
TropicalHumid  0.880155631417468  0.000250790165036732
Unproductive   0.103508106186242  0.109947910203085   
