               harv               litt_atm            litt_tmp             litt_soil           soil_atm             soil_tmp             
Tundra         0.355615795162951  5.7310078577079e-09 0.00655761379957922  0.00915585832228863 6.36654228141885e-10 0.000152975155656158 
Boreal         0.503903100104274  0                   0.0058006947863259   0.00635436641332287 0.000672484852366213 0.000113311151206463 
DesertCold     0.0806606798289718 0.0452816050673828  0.00451925914287791  0.00843171182443325 0.000215727413877208 0.000138186488052199 
TemperateDry   0.55452273038749   0.121523355911721   0.0061603744836714   0.00987963125107171 0.00146060281257243  0.00010399643315876  
TemperateHumid 0.525670215450011  0.107755556572595   0.00398218614391637  0.00679434497560157 0.00115052252717825  0.000128671893527964 
Desert         0.508924383446851  0.0809254372253901  0.0118104385576298   0.0143040867944303  0.00194976460232362  4.86189763910961e-05 
Semiarid       0.999999939435913  0.319758041107428   0.000637598353738448 0.0114797768712218  0.00136229975418452  7.54738123273323e-05 
TropicalDry    0.50727729058771   0.208877928659685   0.0049139349037146   0.0105439391768242  0.00423513466568008  -1.56851959821943e-05
TropicalHumid  0.343976272191695  0.13960493327187    0.0137269008272317   0.00628674189090763 0.0031995754046783   -4.91419105549271e-05
Unproductive   0.03               0                   0.00903540565147481  0.0119793852680258  0.000521999428216479 5.71671260214006e-05 
