               const               tmp                  ppm                  
Tundra         -0.221788901585907  0.0427170518700272   0.000145457997159549 
Boreal         -0.045519371836171  0.0274460409260499   0.000510675672725516 
DesertCold     -0.0181947758687588 0.010482608134253    0.00047000344272251  
TemperateDry   0.180114224209855   0.00152557091114618  0.000662470828245407 
TemperateHumid 0.380640039918634   -0.00862380676624499 0.000890894193848157 
Desert         -0.0567853700987863 0.00791518593525084  0.000313995631400095 
Semiarid       -0.0639161972272783 0.0292317986914626   0.000380456945070463 
TropicalDry    0.873247294600065   0.00116979739880458  0.000226585146497418 
TropicalHumid  1.15359935006073    0.00920825353958045  -7.84283775442086e-05
Unproductive   -0.206986892811853  0.028061701093697    5.88609722256084e-05 
