               const               tmp                  ppm                  
Tundra         -0.24801956270906   0.0486497465253008   0.000175399549735185 
Boreal         -0.0434300092798341 0.0306128017808962   0.000595294175887334 
DesertCold     -0.0159679173068635 0.0115664012618331   0.000551789813277362 
TemperateDry   0.205060825847757   0.00237636874107754  0.000765143541513065 
TemperateHumid 0.429227836263136   -0.00908884008666806 0.00101786766346716  
Desert         -0.0710965468748309 0.00970781177684166  0.000376357704254617 
Semiarid       -0.0704762754186616 0.0342036427165569   0.000458076989120388 
TropicalDry    1.031173301174      0.000489259897966759 0.000270961141861013 
TropicalHumid  1.37081695535455    0.007926322870886    -6.63824539549916e-05
Unproductive   -0.237395826114244  0.032404060044978    6.97987965406056e-05 
