               litter            soil            
Boreal         1.23021992013108  14.0697309320284
Desert         0.26579200099525  2.44384907929421
DesertCold     0.804278098605951 9.23898548859543
Semiarid       0.520116756369895 4.33040086206651
TemperateDry   0.552783189597543 7.36537794171798
TemperateHumid 0.756587040011687 9.34289804939998
TropicalDry    1.17982143154713  8.8115540273128 
TropicalHumid  1.70207699687733  9.80157241578948
Tundra         0.585584830698896 5.07149766270791
Unproductive   0.161325616049771 1.11636082993968
